commodity,commodity_type,price,market,state,district,date
Rice,Cereals,66.95,Local Market,National Average,All,2025-07-03
Rice,Cereals,56.14,Wholesale Market,National Average,All,2025-07-03
Rice,Cereals,61.69,Government Market,National Average,All,2025-07-03
Rice,Cereals,69.95,Local Market,National Average,All,2025-07-02
Rice,Cereals,57.5,Wholesale Market,National Average,All,2025-07-02
Rice,Cereals,62.52,Government Market,National Average,All,2025-07-02
Rice,Cereals,68.06,Local Market,National Average,All,2025-07-01
Rice,Cereals,55.54,Wholesale Market,National Average,All,2025-07-01
Rice,Cereals,61.15,Government Market,National Average,All,2025-07-01
Rice,Cereals,71.23,Local Market,National Average,All,2025-06-30
Rice,Cereals,57.02,Wholesale Market,National Average,All,2025-06-30
Rice,Cereals,63.69,Government Market,National Average,All,2025-06-30
Rice,Cereals,69.57,Local Market,National Average,All,2025-06-29
Rice,Cereals,58.02,Wholesale Market,National Average,All,2025-06-29
Rice,Cereals,63.31,Government Market,National Average,All,2025-06-29
Rice,Cereals,71.18,Local Market,National Average,All,2025-06-28
Rice,Cereals,58.83,Wholesale Market,National Average,All,2025-06-28
Rice,Cereals,64.96,Government Market,National Average,All,2025-06-28
Rice,Cereals,70.6,Local Market,National Average,All,2025-06-27
Rice,Cereals,57.13,Wholesale Market,National Average,All,2025-06-27
Rice,Cereals,64.06,Government Market,National Average,All,2025-06-27
Rice,Cereals,71.85,Local Market,National Average,All,2025-06-26
Rice,Cereals,60.8,Wholesale Market,National Average,All,2025-06-26
Rice,Cereals,66.68,Government Market,National Average,All,2025-06-26
Rice,Cereals,77.08,Local Market,National Average,All,2025-06-25
Rice,Cereals,62.37,Wholesale Market,National Average,All,2025-06-25
Rice,Cereals,70.17,Government Market,National Average,All,2025-06-25
Rice,Cereals,75.96,Local Market,National Average,All,2025-06-24
Rice,Cereals,61.5,Wholesale Market,National Average,All,2025-06-24
Rice,Cereals,68.85,Government Market,National Average,All,2025-06-24
Rice,Cereals,71.2,Local Market,National Average,All,2025-06-23
Rice,Cereals,58.54,Wholesale Market,National Average,All,2025-06-23
Rice,Cereals,65.21,Government Market,National Average,All,2025-06-23
Rice,Cereals,73.34,Local Market,National Average,All,2025-06-22
Rice,Cereals,60.67,Wholesale Market,National Average,All,2025-06-22
Rice,Cereals,65.51,Government Market,National Average,All,2025-06-22
Rice,Cereals,69.56,Local Market,National Average,All,2025-06-21
Rice,Cereals,57.88,Wholesale Market,National Average,All,2025-06-21
Rice,Cereals,63.02,Government Market,National Average,All,2025-06-21
Rice,Cereals,68.77,Local Market,National Average,All,2025-06-20
Rice,Cereals,57.01,Wholesale Market,National Average,All,2025-06-20
Rice,Cereals,61.54,Government Market,National Average,All,2025-06-20
Rice,Cereals,66.81,Local Market,National Average,All,2025-06-19
Rice,Cereals,55.69,Wholesale Market,National Average,All,2025-06-19
Rice,Cereals,62.22,Government Market,National Average,All,2025-06-19
Rice,Cereals,68.0,Local Market,National Average,All,2025-06-18
Rice,Cereals,57.51,Wholesale Market,National Average,All,2025-06-18
Rice,Cereals,63.1,Government Market,National Average,All,2025-06-18
Rice,Cereals,66.84,Local Market,National Average,All,2025-06-17
Rice,Cereals,54.63,Wholesale Market,National Average,All,2025-06-17
Rice,Cereals,59.86,Government Market,National Average,All,2025-06-17
Rice,Cereals,64.24,Local Market,National Average,All,2025-06-16
Rice,Cereals,51.47,Wholesale Market,National Average,All,2025-06-16
Rice,Cereals,58.06,Government Market,National Average,All,2025-06-16
Rice,Cereals,66.17,Local Market,National Average,All,2025-06-15
Rice,Cereals,55.06,Wholesale Market,National Average,All,2025-06-15
Rice,Cereals,61.1,Government Market,National Average,All,2025-06-15
Rice,Cereals,65.33,Local Market,National Average,All,2025-06-14
Rice,Cereals,53.03,Wholesale Market,National Average,All,2025-06-14
Rice,Cereals,58.98,Government Market,National Average,All,2025-06-14
Rice,Cereals,61.85,Local Market,National Average,All,2025-06-13
Rice,Cereals,52.09,Wholesale Market,National Average,All,2025-06-13
Rice,Cereals,56.46,Government Market,National Average,All,2025-06-13
Rice,Cereals,61.8,Local Market,National Average,All,2025-06-12
Rice,Cereals,49.42,Wholesale Market,National Average,All,2025-06-12
Rice,Cereals,55.96,Government Market,National Average,All,2025-06-12
Rice,Cereals,64.23,Local Market,National Average,All,2025-06-11
Rice,Cereals,53.13,Wholesale Market,National Average,All,2025-06-11
Rice,Cereals,57.28,Government Market,National Average,All,2025-06-11
Rice,Cereals,64.97,Local Market,National Average,All,2025-06-10
Rice,Cereals,52.6,Wholesale Market,National Average,All,2025-06-10
Rice,Cereals,59.25,Government Market,National Average,All,2025-06-10
Rice,Cereals,65.67,Local Market,National Average,All,2025-06-09
Rice,Cereals,52.91,Wholesale Market,National Average,All,2025-06-09
Rice,Cereals,59.01,Government Market,National Average,All,2025-06-09
Rice,Cereals,64.5,Local Market,National Average,All,2025-06-08
Rice,Cereals,52.99,Wholesale Market,National Average,All,2025-06-08
Rice,Cereals,58.26,Government Market,National Average,All,2025-06-08
Rice,Cereals,64.96,Local Market,National Average,All,2025-06-07
Rice,Cereals,52.94,Wholesale Market,National Average,All,2025-06-07
Rice,Cereals,59.58,Government Market,National Average,All,2025-06-07
Rice,Cereals,66.83,Local Market,National Average,All,2025-06-06
Rice,Cereals,54.34,Wholesale Market,National Average,All,2025-06-06
Rice,Cereals,60.05,Government Market,National Average,All,2025-06-06
Rice,Cereals,69.46,Local Market,National Average,All,2025-06-05
Rice,Cereals,55.37,Wholesale Market,National Average,All,2025-06-05
Rice,Cereals,62.26,Government Market,National Average,All,2025-06-05
Rice,Cereals,70.47,Local Market,National Average,All,2025-06-04
Rice,Cereals,56.88,Wholesale Market,National Average,All,2025-06-04
Rice,Cereals,61.85,Government Market,National Average,All,2025-06-04
Rice,Cereals,72.32,Local Market,National Average,All,2025-06-03
Rice,Cereals,59.48,Wholesale Market,National Average,All,2025-06-03
Rice,Cereals,66.2,Government Market,National Average,All,2025-06-03
Rice,Cereals,75.1,Local Market,National Average,All,2025-06-02
Rice,Cereals,60.08,Wholesale Market,National Average,All,2025-06-02
Rice,Cereals,68.26,Government Market,National Average,All,2025-06-02
Rice,Cereals,75.67,Local Market,National Average,All,2025-06-01
Rice,Cereals,61.71,Wholesale Market,National Average,All,2025-06-01
Rice,Cereals,68.93,Government Market,National Average,All,2025-06-01
Rice,Cereals,77.06,Local Market,National Average,All,2025-05-31
Rice,Cereals,63.75,Wholesale Market,National Average,All,2025-05-31
Rice,Cereals,71.55,Government Market,National Average,All,2025-05-31
Rice,Cereals,75.46,Local Market,National Average,All,2025-05-30
Rice,Cereals,61.63,Wholesale Market,National Average,All,2025-05-30
Rice,Cereals,68.19,Government Market,National Average,All,2025-05-30
Rice,Cereals,77.97,Local Market,National Average,All,2025-05-29
Rice,Cereals,62.69,Wholesale Market,National Average,All,2025-05-29
Rice,Cereals,71.35,Government Market,National Average,All,2025-05-29
Rice,Cereals,79.68,Local Market,National Average,All,2025-05-28
Rice,Cereals,65.7,Wholesale Market,National Average,All,2025-05-28
Rice,Cereals,73.59,Government Market,National Average,All,2025-05-28
Rice,Cereals,77.06,Local Market,National Average,All,2025-05-27
Rice,Cereals,61.43,Wholesale Market,National Average,All,2025-05-27
Rice,Cereals,70.02,Government Market,National Average,All,2025-05-27
Rice,Cereals,76.97,Local Market,National Average,All,2025-05-26
Rice,Cereals,63.05,Wholesale Market,National Average,All,2025-05-26
Rice,Cereals,70.46,Government Market,National Average,All,2025-05-26
Rice,Cereals,76.9,Local Market,National Average,All,2025-05-25
Rice,Cereals,63.49,Wholesale Market,National Average,All,2025-05-25
Rice,Cereals,69.81,Government Market,National Average,All,2025-05-25
Rice,Cereals,75.67,Local Market,National Average,All,2025-05-24
Rice,Cereals,62.8,Wholesale Market,National Average,All,2025-05-24
Rice,Cereals,68.95,Government Market,National Average,All,2025-05-24
Rice,Cereals,74.56,Local Market,National Average,All,2025-05-23
Rice,Cereals,61.38,Wholesale Market,National Average,All,2025-05-23
Rice,Cereals,67.83,Government Market,National Average,All,2025-05-23
Rice,Cereals,78.0,Local Market,National Average,All,2025-05-22
Rice,Cereals,63.61,Wholesale Market,National Average,All,2025-05-22
Rice,Cereals,71.23,Government Market,National Average,All,2025-05-22
Rice,Cereals,73.3,Local Market,National Average,All,2025-05-21
Rice,Cereals,59.81,Wholesale Market,National Average,All,2025-05-21
Rice,Cereals,65.85,Government Market,National Average,All,2025-05-21
Rice,Cereals,72.51,Local Market,National Average,All,2025-05-20
Rice,Cereals,59.83,Wholesale Market,National Average,All,2025-05-20
Rice,Cereals,66.37,Government Market,National Average,All,2025-05-20
Rice,Cereals,72.1,Local Market,National Average,All,2025-05-19
